paper_id,title,year,venue,primary_method,evidence_level,content_status,last_verified
paper-10-3390-rs18122016,MODIS-Based Estimation of Grassland Gross Primary Productivity in Inner Mongolia Using a ConvTransformer Deep Learning Model,2026,Remote Sensing,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-j-rse-2005-10-009,Evaluation of MODIS Gross Primary Productivity (GPP) in tropical monsoon regions,2006,Remote Sensing of Environment,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-0034-42579500258-8,Estimating net ecosystem exchange of carbon using the normalized difference vegetation index and an ecosystem model,1996,Remote Sensing of Environment,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1029-2010gb003900,Atmospheric constraints on gross primary productivity and net ecosystem productivity: Results from a carbon‐cycle data assimilation system,2012,Global Biogeochemical Cycles,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1034-j-1600-0889-47-issue1-15-x,"Monitoring seasonal and interannual variations of gross primary productivity, net primary productivity and net ecosystem productivity using a diagnostic model and remotely-sensed data",1995,Tellus B,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-j-ecoinf-2022-101697,Machine learning approach to predict terrestrial gross primary productivity using topographical and remote sensing data,2022,Ecological Informatics,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-essd-2016-36,Understanding the representativeness of FLUXNET for upscaling carbon flux from eddy covariance measurements,2016,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-3390-rs13214229,Estimating Gross Primary Productivity (GPP) over Rice–Wheat-Rotation Croplands by Using the Random Forest Model and Eddy Covariance Measurements: Upscaling and Comparison with the MODIS Product,2021,Remote Sensing,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1080-01431161-2024-2312266,Uniform upscaling techniques for eddy covariance FLUXes (UFLUX),2024,International Journal of Remote Sensing,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1111-j-1600-0889-2007-00274-x,"The surface energy, water, carbon flux and their intercorrelated seasonality in a global climate-vegetation coupled model",2007,Tellus B: Chemical and Physical Meteorology,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-j-ifacsc-2019-100036,Net Ecosystem Exchange (NEE) simulation in maize using artificial neural networks,2019,IFAC Journal of Systems and Control,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-3334-ornldaac-1315,"CMS: Modeled Net Ecosystem Exchange at 3-hourly Time Steps, 2004-2010",2016,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1007-s10668-022-02276-9,Prediction of the CO2 emission across grassland and cropland using tower-based eddy covariance flux measurements: a machine learning approach,2023,"Environment, Development and Sustainability",observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-3390-rs17030426,Upscaling Tower-Based Net Ecosystem Productivity to 250 m Resolution with Flux Site Distribution Considerations,2025,Remote Sensing,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-j-agwat-2024-108706,A coupled hourly water-carbon flux model at plot and field scales for water-saving irrigated rice paddy,2024,Agricultural Water Management,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-esd-2021-38,Process-based analysis of terrestrial carbon flux predictability,2021,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-31223-x5r957,CEDAR-GPP: spatiotemporally upscaled estimates of gross primary productivity incorporating CO2 fertilization,2023,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-j-fecs-2025-100368,Predicting gross primary productivity of poplar plantations based on solar-induced chlorophyll fluorescence using an improved machine learning model,2025,Forest Ecosystems,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-15486-ngt-1279968,Global 4 km resolution monthly gridded Gross Primary Productivity (GPP) data set derived from FLUXNET2015,2016,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-2025-2517,Improving Terrestrial Carbon Flux Simulations With Machine Learning and Global Earth Observations,2025,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-j-rsase-2025-101728,Upscaling CO2 fluxes from agricultural drained lowland peatlands in England using remote sensing and machine learning,2025,Remote Sensing Applications: Society and Environment,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-3410-f-1028523-341152,Faculty Opinions recommendation of Estimating diurnal to annual ecosystem parameters by synthesis of a carbon flux model with eddy covariance net ecosystem exchange observations.,2005,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1109-icmlc-2008-4620630,Spatialization of station measured net ecosystem exchange using artificial neural network,2008,2008 International Conference on Machine Learning and Cybernetics,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-4135-9781446247501-n1783,GROSS PRIMARY PRODUCTIVITY (GPP),2014,Encyclopedia of Environmental Change,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-essd-2016-36-rc2,Review on 'Understanding the representativeness of FLUXNET for upscaling carbon flux from eddy covariance measurements',2016,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1109-igarss-2017-8128126,Remote estimation of maize carbon sequestration capacity based on eddy covariance flux measurements,2017,2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-33915-etd-7022,Climatic and Ecohydrologic Linkages of Net Ecosystem Exchanges (NEE) across Diverse Ecosystems,2019,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1109-igarss-2019-8900191,Updated Data-Driven GPP and NEE Estimation with Remote Sensing and Machine Learning Across Asia,2019,IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-bg-2020-50-rc1,A new study on interannual relationships between vegetation LAI and water/energy/carbon fluxes across global ecosystems using flux measurements,2020,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu2020-19498,Urban carbon dioxide flux monitoring using Eddy Covariance and Earth Observation: An introduction to diFUME project,2020,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-35370-bjost-2020-2-2-06,Estimation of Gross Primary Productivity (GPP) using Moderate Resolution Imaging Spectroradiometer (MODIS),2020,Borneo Journal of Sciences and Technology,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu22-11111,Machine learning based estimation of regional Net Ecosystem Exchange (NEE) constrained by atmospheric inversions and ecosystem observations,2022,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-2022-640-supplement,"Supplementary material to ""Synergy between TROPOMI sun-induced chlorophyll fluorescence and MODIS spectral reflectance for understanding the dynamics of gross primary productivity at integrated carbon observatory system (ICOS) ecosystem flux sites""",2022,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu23-16443,Hybrid machine learning model of coupled carbon and water cycles,2023,,hybrid-numerical-machine-learning,primary_verified,verified,2026-07-17
paper-10-53846-goediss-9953,Flux measurements at the land-atmosphere interface: Extending the theory and implementation of the true eddy accumulation and eddy covariance measurement techniques,2023,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-ems2023-530,Temporal relationship of solar-Induced chlorophyll fluorescence (SIF) and gross primary productivity (GPP) measured at ground to satellite scale over different ecosystems,2023,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-4801189,How Real is the Correlation between Gross Primary Productivity and Ecosystem Respiration?,2024,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-22541-essoar-172526720-02219772-v1,Exploring Optimal Complexity for Water Stress Representation in Terrestrial Carbon Models: A Hybrid-Machine Learning Model Approach,2024,,hybrid-numerical-machine-learning,primary_verified,verified,2026-07-17
paper-10-23967-isc-2024-304,Machine Learning-Based Modeling of Net Ecosystem Exchange Using Numerical Weather Data and Satellite Images,2024,7th International Conference on Geotechnical and Geophysical Site Characterization,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu24-13899,Estimating CO2 Flux at 30 Meter Resolution Using Machine Learning,2024,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1201-9781032711126-34,Global Carbon Cycle Data Assimilation Using Earth Observation,2024,Land Carbon Cycle Modeling,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-5352244,Towards Consistent Carbon Monitoring: The Role of Satellite Resolution and Process-Informed Machine Learning in Terrestrial Carbon Cycle Modelling,2025,,hybrid-numerical-machine-learning,primary_verified,verified,2026-07-17
paper-10-1109-lgrs-2025-3541893-mm1,UFLUX v2.0: A Process-Informed Machine Learning Framework for Efficient and Explainable Modelling of Terrestrial Carbon Uptake_supp1-3541893.pdf,2025,,hybrid-numerical-machine-learning,primary_verified,verified,2026-07-17
paper-10-4018-979-8-3373-2091-5-ch014,Machine Learning Algorithms for Modeling Carbon Flux in Ecosystems,2025,Advanced Systems for Monitoring Carbon Sequestration,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu25-4594,Addressing a sensible heat bias in open-path eddy covariance carbon dioxide flux measurements,2025,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu25-14398,Modelling solar-induced chlorophyll fluorescence (SIF) with terrestrial biosphere model QUINCY,2025,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-2026-3281,Machine-learning projections of boreal forest gross primary productivity under future climate change,2026,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu26-9141,"“Take one, get two!” - Spatial flux decomposition for eddy covariance towers",2026,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu26-10329,VODCA2GPP: High Resolution GPP Estimation in the Mediterranean basin from Vegetation Optical Depth Using Machine Learning,2026,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1175-jhm467-1,Comparing Aircraft-Based Remotely Sensed Energy Balance Fluxes with Eddy Covariance Tower Data Using Heat Flux Source Area Functions,2005,Journal of Hydrometeorology,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1002-9781119793403-ch17,Process‐Based Carbon Sequestration Study with Reference to the Energy‐Water‐Carbon Flux in a Forest Ecosystem,2021,Climate Impacts on Sustainable Natural Resource Management,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-j-agrformet-2014-04-011,Joint data assimilation of satellite reflectance and net ecosystem exchange data constrains ecosystem carbon fluxes at a high-elevation subalpine forest,2014,Agricultural and Forest Meteorology,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-3390-atmos12020281,Correction of Eddy Covariance Based Crop ET Considering the Heat Flux Source Area,2021,Atmosphere,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1007-978-1-62703-688-7-21,Ecophysiological Process-Based Model to Simulate Carbon Fluxes in Plants,2014,Methods in Molecular Biology Plant Metabolic Flux Analysis,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-bg-2018-270-rc1,Norton et al. “Estimating global gross primary productivity using chlorophyll fluorescence and a data assimilation system with the BETHY-SCOPE model”.,2018,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu23-15533,Reducing the effects of weather on the sampling bias in tall tower eddy covariance flux measurements,2023,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu24-22211,Optimising the sampling strategy in tall tower eddy covariance flux measurements,2024,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu24-9398,Integrating UAS-based lidar data in eddy covariance flux footprint modelling,2024,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu24-7413,Addressing forest canopy decoupling in eddy covariance flux measurement networks,2024,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu25-11746,Evaluating a Flux Footprint Model Using Tracer Release Experiments and Tall Tower Eddy Covariance Measurements,2025,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-5252965,Can Matching High Spatial Resolution Landsat Data with Eddy-Covariance Flux Footprints Improve the Correlation between Nirv and Gpp?,2025,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-icuc12-821,"Spatial and temporal variations of carbon dioxide flux to the atmosphere in Krakow, Poland: four years of eddy covariance measurements",2025,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1109-jstars-2026-3706054-mm1,Improving High-Resolution GPP Estimation by Incorporating Flux Footprint Weighting with Mechanistic Canopy Partitioning_supp1-3706054.docx,2026,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1109-jstars-2026-3706054,Improving High-Resolution GPP Estimation by Incorporating Flux Footprint Weighting with Mechanistic Canopy Partitioning,2026,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-1016-j-jcp-2023-112603,NAS-PINN: Neural architecture search-guided physics-informed neural network for solving PDEs,2024,Journal of Computational Physics,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-1615-jmachlearnmodelcomput-2024055786,MULTI-FIDELITY MACHINE LEARNING FOR UNCERTAINTY QUANTIFICATION AND OPTIMIZATION,2024,Journal of Machine Learning for Modeling and Computing,uncertainty-quantification,primary_verified,verified,2026-07-17
paper-10-1038-s44287-025-00208-z,Advancing Earth observation with a multi-modal remote sensing foundation model,2025,Nature Reviews Electrical Engineering,scientific-foundation-models,primary_verified,verified,2026-07-17
paper-10-31223-x5xw61,"Can machine learning improve carbon storage? Synergies of deep learning, uncertainty quantification and intelligent process control",2021,,uncertainty-quantification,primary_verified,verified,2026-07-17
paper-10-3390-rs17233805,Physics-Informed Transformer Networks for Interpretable GNSS-R Wind Speed Retrieval,2025,Remote Sensing,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-1016-j-applthermaleng-2026-130757,Physics-informed Fourier neural operator for surrogate prediction of tunnel fire temperature field,2026,Applied Thermal Engineering,neural-operators,primary_verified,verified,2026-07-17
paper-10-31219-osf-io-p95zn,"Scientific Machine Learning (SciML) Surrogates for Industry, Part 1: The Guiding Questions",2024,,theory-optimization-generalization,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu24-1760,EarthPT: a foundation model for Earth Observation,2024,,scientific-foundation-models,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-5749490,SDD-PINN: Physics-informed neural network for single droplet drying,2025,,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-3390-rs18101529,Geographic Bias Analysis and Cross-Domain Generalization in Deep Learning-Based Building Damage Assessment,2026,Remote Sensing,theory-optimization-generalization,primary_verified,verified,2026-07-17
paper-10-1021-acs-jpca-1c05102-s001,Stiff-PINN: Physics-Informed Neural Network for Stiff Chemical Kinetics,2021,,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-1049-sbew552e-ch7,Machine learning approaches towards uncertainty quantification,2021,"Uncertainty Quantification of Electromagnetic Devices, Circuits, and Systems",uncertainty-quantification,primary_verified,verified,2026-07-17
paper-10-21203-rs-3-rs-640751-v1,Time-Series Uncertainty Quantification of Foundation Settlement with Kernel Based Extreme Learning Machine,2021,,uncertainty-quantification,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu21-9254,Machine learning-based uncertainty quantification for data assimilation: a simple model experiment,2021,,uncertainty-quantification,primary_verified,verified,2026-07-17
paper-10-1007-978-3-030-95231-0-6,Uncertainty Quantification with Extreme Learning Machine,2022,Springer Theses On Spatio-Temporal Data Modelling and Uncertainty Quantification Using Machine Learning and Information Theory,uncertainty-quantification,primary_verified,verified,2026-07-17
paper-10-53962-yg21-zyxf,Physics-informed Machine Learning: The Next Evolution in Neural Network Development,2023,ResearchEquals,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-4527164,Physics-Informed Invertible Neural Network for the Koopman Operator Learning,2023,,neural-operators,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu23-3276,A large-scale flood modeling using geometry-adaptive physics-informed neural solver and Earth observation data,2023,,scientific-foundation-models,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-4601468,Uncertainty Quantification Study of the Physics-Informed Machine Learning Models for Critical Heat Flux Prediction,2023,,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-17760-d20659778,Uncertainty quantification in pain assessment through machine learning,2024,,uncertainty-quantification,primary_verified,verified,2026-07-17
paper-10-1021-acs-jctc-5c00090-s001,Learning Pairwise Interaction for Extrapolative and Interpretable Machine Learning Interatomic Potentials with Physics-Informed Neural Network,2025,,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-36227-techrxiv-175760430-01088421-v1,Learning to PINN Down PDEs: Lessons from Developing a Physics-Informed Neural Network Framework,2025,,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-21203-rs-3-rs-6880919-v1,HOMO-PINN: Hyperparameter Optimization of a Multi-Output Physics-Informed Neural Network,2025,,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-5207041,Pinn-Phase: A Physics-Informed Neural Network Hybrid Framework for Energy-Based Transfer Learning in Diffuse Interface Problems,2025,,physics-constrained-objectives,primary_verified,verified,2026-07-17
